quantification_cDNA;coverage_depth;reads;coverage_genome
32.6;341.4074;26124;89.78
57.8;378.092;28815;93.114
47.2;463.5214;35398;93.114
61.2;337.1888;25718;93.114
23.4;443.5793;33695;93.114
28.4;233.4449;17815;92.262
16;795.6575;60810;93.114
23.6;604.7918;46357;93.114
12.9;253.8413;19548;86.814
18.3;72.4964;5775;74.598
30.4;262.4965;20229;95.87
18.2;321.9641;24609;91.519
14.6;418.2935;32047;92.128
17.6;290.3592;22172;93.114
17.8;179.2182;13760;91.014
8.38;99.7503;7751;70.548
20;338.8366;25830;92.262
21.4;290.1768;22127;92.262
15.9;174.7028;13306;85.276
32.8;258.7771;19713;94.174
35.8;202.7202;15505;93.094
15.5;84.2385;6539;71.789
21.8;84.9511;6629;85.577
25.2;347.3009;26370;93.114
13.2;105.8021;8181;69.461
20.8;195.7993;14986;83.982
26;327.1927;25200;89.78
28.2;303.6603;23212;87.657
24.6;277.2068;21220;92.262
30.2;221.6475;17054;85.888
15.8;136.4121;10515;79.226
31.8;138.6214;10700;91.399
32.6;493.4089;37526;93.114
33.6;265.2404;20368;87.864
24;213.3768;16337;87.874
27.2;252.852;19383;90.389
34.2;296.4438;22671;88.409
21.4;208.8734;16143;91.375
24.2;248.5788;19042;91.309
20.4;148.8149;11489;91.492
6.92;58.8629;4624;52.968
23.8;131.3897;10144;89.242
22.6;145.383;11207;91.205
21.2;159.5979;12242;91.185
38.6;98.9311;7817;79.363
59;60.8242;4908;69.832
81.8;57.37584858;25072;92.121
42.2;5.45811457;10198;51.426
94;80.78995419;37247;91.268
53.6;49.51366084;23703;89.556
118;84.96993613;42547;92.86
104;131.3372906;54078;93.947
106;92.47741029;43285;94.482
88.4;93.14740996;41271;92.262
110;80.88228606;37730;96
58.8;50.60508979;24711;93.195
77.6;54.68280775;26440;90.549
116;89.33588603;43644;96
61.4;120.1479116;56412;95.87
95.2;97.00785874;40050;95.141
60.2;45.01023309;19793;90.549
65.8;65.90298632;29876;91.402
75.8;68.40587901;30422;92.262
51.6;47.83399659;23106;88.593
59.8;41.43373575;19302;91.409
62.8;47.62298097;22791;89.84
47;49.3205364;23087;91.466
102;143.8993078;57748;96.994
40.2;12.47510283;15210;59.696
69;95.93719694;39151;93.947
77.8;82.43988897;35804;91.268
36.4;0.26258235;310;2.398
82;106.2739859;49704;94.017
59;37.2468983;17136;89.322
80.6;61.05955924;30738;89.616
83.8;64.73828713;27441;91.272
106;102.7793532;52432;96.994
92.6;80.83516704;35507;94.298
77.2;31.61077484;14797;89.723
42.2;16.48667358;8612;77.056
75.4;78.55061365;35879;95.141
118;76.5558974;34974;94.873
94.2;111.0131091;46644;95.141
58.6;89.08343644;37719;94.877
120;154.6834431;70919;96.994
87.6;50.01688794;20953;89.616
89;83.03845768;34614;96
40.6;45.5457312;22441;89.533
60;50.45868308;22164;92.094
67;46.82797713;21730;92.094
67.6;35.17687189;17053;89.536
20.4;22.37156807;13997;79.885
86;89.94739658;42009;93.088
90.2;88.47376517;45045;96.134
74.8;88.01892787;38954;94.017
68.2;61.78701134;28655;92.115
92.4;63.72420827;30104;91.262
104;128.8408521;60400;92.954
90.6;50.29027188;22983;92.104
62.6;74.7706919;36980;95.87
74.4;76.70584891;31893;95.141
45.8;58.23335451;23112;92.262
51.2;109.4811557;44774;95.011
63;115.3385613;51985;93.114
27.4;10.54071498;10495;65.288
44.6;21.39688326;11541;76.989
34.2;25.52101796;13673;82.206
92.6;50.19299067;21399;92.673
43.4;12.57813597;7936;70.317
71.4;66.84857707;29440;93.385
98.4;10.62632512;5943;69.11
42.4;69.34364445;30980;92.533
112;122.401866;55127;95.171
23.4;0.402802394;451;5.856
34.2;34.04023008;16733;91.185
66.4;47.70280574;20499;91.456
68.8;36.58616192;15904;91.516
47.6;40.69029863;18759;92.643
79;46.5000836;21107;91.322
50.6;24.57753403;12770;85.908
12.2;3.714242718;5023;43.089
33.4;32.0654115;17457;82.948
21.4;0.124536;227;2.378
25.6;4.690766813;17087;51.51
44.4;41.53817343;18282;90.683
72;73.32006822;31149;93.325
41.2;47.78898438;22433;91.516
98.4;52.74788483;26973;94.348
100;27.81623917;10461;88.827
72;45.51700498;19280;93.302
69;68.11065779;29687;94.97
26.6;8.177039093;8727;63.171
51.4;51.07838678;25481;91.412
87.8;38.39892318;17041;89.8
71.4;79.54703541;35865;94.318
71.2;94.5484734;42045;95.141
98.2;100.2412801;45072;95.171
42.8;31.8035983;17981;80.353
85.4;95.63739424;40993;96.857
80;1435.1682;108465;96.994
42.4;892.1534;67974;96.994
84.6;851.9571;64831;96.994
50.8;1146.3591;87357;96.994
69.2;551.5496;42078;95.994
68.6;841.1643;63710;96
44.6;719.034;54831;96.994
7.28;3.4283;283;0
69.8;835.531;63194;96
66.4;912.2746;69014;95.141
65.2;608.1855;46099;94.91
55.4;456.727;34561;93.506
28.2;897.5816;68237;94.79
37.8;513.5235;39503;91.268
81;351.307;26804;90.489
46.8;314.3858;24164;93.506
4.12;6.6028;566;1.164
3.92;8.2013;679;0
3.52;8.7019;727;2.271
14.2;0.6042;48;0
6.32;193.916;15352;78.119
15;386.6259;30045;90.429
4.8;9.9595;838;8.959
14.1;352.5962;27543;90.439
11.2;719.4883;55812;93.389
13.7;345.912;26966;89.576
18.1;442.1265;34304;91.292
25.8;431.2918;33076;93.181
4.32;5.9504;499;0
19.4;1249.8136;95731;95.903
35;718.1806;54754;97.017
8.06;281.7747;22175;81.657
16.2;457.9204;35125;93.305
21.6;325.2823;24951;94.114
16.2;363.725;28257;93.318
13.2;653.6999;50699;93.322
24.6;718.0061;54735;95.763
27.2;646.5065;49398;95.793
3.8;58.0368;4702;53.332
10.2;210.6778;16753;82.38
13.4;336.6241;26179;87.045
16.3;347.7772;26941;91.292
14.8;481.5031;37272;90.573
28.8;482.6249;37074;95.051
26.4;730.6339;55864;93.325
24.2;491.184;37752;94.97
18.3;568.2824;43856;93.954
15.3;911.0099;70120;94.97
20.2;534.7616;41453;91.292
17.9;633.1185;48888;90.325
18.4;645.8957;49493;93.238
20.6;555.669;42740;93.195
19.6;669.0272;51519;92.225
22.4;360.0438;27666;90.416
29;455.678;34892;93.302
31.2;398.3736;30580;93.325
33;174.1732;13527;89.466
20.8;981.5033;75329;96.95
34.2;1085.0306;82687;95.171
30;90.0749;7035;77.952
23.6;283.6442;21955;87.486
49.8;700.9408;53705;94.318
34.4;681.7812;52400;94.318
32.4;514.8791;39448;94.178
35.4;422.982;32589;95.194
5.26;13.9186;1161;18.476
21.4;113.5651;8810;74.829
21.6;352.3531;27060;86.824
35.8;417.8013;32023;93.325
18.1;256.3147;19844;87.486
37;205.4261;15861;92.529
32.4;449.6656;34409;94.318
25.2;227.8439;17658;86.617
32.6;391.6248;30063;92.308
37.8;172.5096;13378;86.831
33.8;152.7628;11877;83.015
18.3;177.3478;13955;71.598
38.6;585.4183;45118;93.318
9.78;111.7378;8888;76.604
10.7;69.6142;5556;66.498
24;195.9339;15164;86.74
13.6;173.377;13569;81.547
7.04;9.449;779;10.012
8.48;4.7472;389;0
5.06;7.1132;600;4.484
7.56;9.1903;766;5.642
28;601.8984;46118;95.251
9.22;99.2352;7965;67.572
6.34;13.6894;1108;21.463
31.8;188.5825;14598;89.406
6.36;10.2044;840;8.969
35.8;403.7762;31038;94.178
8.28;148.8844;11830;75.27
7.24;24.2806;1980;23.101
6.68;74.0827;5906;59.034
39.4;392.1429;29898;93.83
5.86;227.1486;17703;88.924
12.3;307.975;24190;92.452
37.2;2524.9348;195468;97.866
34.4;810.375;62871;97.01
9.14;9.9364;774;10.103
21.2;490.5349;38000;96.158
7.2;16.119;1264;22.643
51.6;1160.4353;90314;97.866
5.68;0.7851;64;0
20.6;570.6008;44295;96.158
21.4;780.0878;60518;97.866
8.38;554.8749;43407;93.382
63;2494.5836;193270;97.913
75;812.4758;63165;97.769
6.9;7.7116;621;0
18.3;336.2712;26351;94.335
4.54;10.2902;814;5.635
24.6;372.7265;29124;94.335
68.8;3328.3178;258004;98.799
43.4;1014.3292;79173;97.866
26;430.7509;33904;97.014
18;301.996;23594;93.318
56.2;467.7657;36980;97.014
56.8;863.9673;67580;97.866
44.6;1855.3219;145041;97.866
74.8;1600.2898;125317;97.866
7.5;66.8731;5261;74.805
13.5;37.7551;3028;52.801
18.1;73.4513;5999;70.662
45.4;1102.3557;86547;97.866
24;1248.2418;97343;97.014
76.4;4423.6475;343889;98.799
9.8;163.62;12868;79.674
41.4;1422.7071;111756;97.014
57.4;1779.1395;139503;97.866
34.2;1443.5489;113400;97.866
67.8;1138.6654;89350;97.866
91;2631.2794;205169;98.799
104;3461.0529;270057;98.799
62.8;2719.7773;211507;97.866
26;1366.3199;106945;97.866
31;2027.8749;158358;96.994
52;5380.482;418480;99.595
96.6;3224.0988;249990;99.595
77;6152.8652;477778;98.679
61.5;745.3678;58238;96.803
96.2;2256.8075;175531;95.82
76.7;1713.6603;133349;96.803
84.9;1774.9085;137904;95.87
17.1;951.1958;74048;94.984
91.8;0.2146;17;0
120;1344.2046;104185;98.896
120;1813.4225;141241;95.87
42.9;682.6149;52956;95.87
68.2;1393.8564;108573;95.87
41.8;1297.0494;100746;93.904
41.8;525.5079;40958;90.633
48;1024.4299;79891;95.87
40.5;188.4055;14692;83.336
73.8;637.6265;49635;94.79
49.9;276.9822;21612;89.673
37.9;215.9514;16912;84.149
23.4;129.0091;10137;64.873
29.4;411.0095;31990;90.86
38.1;628.6344;49022;89.78
62.6;2525.1011;196458;0
54.3;1755.1987;136407;95.87
24.1;1103.368;85612;95.87
24.2;889.8917;68971;97.927
86.9;626.4449;48897;93.265
80.5;1676.6998;130469;97
52.2;1454.7302;113290;95.87
110;2998.2027;233031;98.943
100;2753.7859;214227;97.927
80.7;2128.8933;165292;98.943
63.1;950.7728;74003;92.272
37.2;1528.5244;118513;93.957
42;1337.0165;104148;93.114
33.2;587.6738;45793;91.141
40.4;803.898;62505;92.128
61;940.5068;73161;93.114
14.3;847.8494;66779;88.299
54;1764.5923;136898;95.071
7.3;1.2497;106;0.943
23;2160.8811;167804;93.114
12.7;1141.4174;89693;93.114
14.1;881.3379;69332;93.114
25;1508.0522;117089;93.114
33.4;1160.1306;90123;0
15.4;222.6942;17777;88.784
14.2;208.51;16593;87.67
8.6;83.5334;6582;66.428
9.54;68.9509;5516;66.689
8.76;97.0158;7658;70.98
35.2;594.0887;46070;95.191
7.58;124.5704;9955;82.467
8.5;90.4106;7107;65.054
7.5;62.9488;4935;61.425
9.6;149.021;11737;74.193
22.8;503.3677;39192;94.248
6.82;73.5005;5776;61.793
7.68;2.0615;175;0
28.2;1002.3387;77535;98.632
32.4;831.8753;64798;96.873
55.4;659.3502;51089;95.057
47.6;426.6478;33120;96.873
59.2;1103.1758;85278;97.866
31.4;574.0373;44649;96.02
30.8;872.5513;67711;97.866
30.6;897.4312;69854;97.866
26.6;1227.901;95256;98.799
29.8;1244.6433;96494;97.866
25.4;548.639;42741;96.873
21.8;643.3632;50060;96.873
28.8;598.6593;46651;96.873
6.36;117.0667;9171;80.44
29.2;420.0373;32763;96.873
23.6;609.1949;47503;96.873
22;333.4325;26068;96.873
30;711.377;55322;96.873
7.64;106.9175;8467;78.337
24;663.0132;51541;97.866
15.6;264.2531;20922;90.63
32.2;383.2145;29954;96.873
23.6;630.4751;49019;96.873
15.9;1144.4189;89383;95.131
27.6;532.8777;41536;94.198
7.8;466.7507;36547;87.811
16.4;1703.5676;132755;95.191
8.72;149.0673;11684;78.046
15;265.416;21111;90.516
18.7;571.9163;44529;94.837
20.8;1161.3942;89975;95.191
26;976.9511;75733;95.131
23.6;1222.4956;94616;95.987
19;683.9972;53156;95.987
30.2;1147.2577;89056;99.595
15.8;353.1715;28163;92.121
21.4;1006.9478;78179;96.92
24;1385.2869;107542;97.773
24.2;1069.2824;82820;94.141
20.8;950.932;73776;94.191
28.6;1415.8553;109681;97.836
37.2;1387.1499;106854;99.595
19.8;1532.5634;118768;96.92
26.8;1515.4435;117015;99.595
25;1151.4298;89287;97.773
36.4;904.5168;69858;96.124
19.2;665.6522;51682;94.198
31.6;1061.9533;82505;95.131
34.2;1433.5393;110507;99.595
16;1020.9287;80048;95.071
12;487.0571;38369;92.232
22;598.8947;46586;94.358
10.7;411.7282;32219;90.493
24.2;858.6503;66592;94.198
21.4;1107.9716;85963;94.994
29.2;1195.2616;92333;95.927
22.2;1021.1266;79142;96.873
10.5;281.6426;22265;91.787
19.7;423.5801;32938;96.02
31.6;659.7824;51242;96.873
30.6;1046.9527;80978;96.873
31.4;471.8646;36604;96.014
23.8;558.3935;43380;96.014
7.34;237.6781;18788;84.155
14;433.6124;34197;92.175
23;511.6139;39897;96.974
10.4;282.5227;22353;84.105
19.7;587.9653;45749;96.141
13.9;326.461;25840;89.633
27.6;954.5884;74058;99.595
19.5;464.5872;36100;96.081
26.6;428.2236;33427;96.873
10.3;286.75;22810;85.249
18.5;609.3539;47241;96.873
9.16;201.5688;15967;89.476
14.1;614.7251;48710;95.031
16.3;912.5582;71811;98.763
16.5;642.7501;50665;96.719
15.9;277.1592;22216;88.436
11.2;682.6542;53837;93.071
10.8;290.404;23129;89.56
11.9;333.5027;26665;93.262
23.8;347.5806;27772;92.038
10;482.6322;38166;91.613
15.8;835.1512;65748;97.382
10.9;252.8718;20199;87.667
8.48;217.4663;17366;86.038
9.1;208.5169;16662;86.078
10.7;436.1763;34582;90.369
20.4;2346.6338;183216;98.763
11.4;515.3048;40414;93.185
18.7;1046.5146;81794;98.763
10.4;1159.6106;90974;93.292
47.8;3306.8709;246322;99.579
15.7;440.5143;33140;98.696
15.1;779.2;58438;99.579
33.6;1875.2235;140275;97.967
30.8;2472.1503;184597;99.579
16.9;702.4232;52814;99.579
11.8;528.6803;39480;97.154
29.6;1896.7096;141443;99.579
22;1023.3375;76664;98.706
20.6;1083.2944;81077;99.579
22.6;1440.7372;107860;99.579
16.9;904.8084;67942;99.579
25;1927.7908;144138;99.579
13.7;1017.4111;76182;99.579
25.8;1666.4754;124724;99.579
20.6;2060.3183;154138;99.579
20.6;1290.7019;96661;99.579
23.4;1295.5907;96894;99.579
23.2;3179.0808;237154;99.579
31.8;2421.4466;180645;98.706
28.6;2993.3114;223467;99.579
23.8;1852.1939;138573;99.579
13.1;463.4237;34995;98.696
27.4;1360.151;101803;99.579
20.2;2202.4127;164568;99.579
13.1;670.8682;50378;99.579
17.1;1495.2098;111847;99.579
26.4;1734.2808;129657;99.579
18;1638.9482;122603;99.579
23.6;2019.2931;151011;99.579
18.6;1190.0432;89313;99.579
22;1295.5317;96931;98.572
12.8;340.5326;25868;96.93
17.6;821.2327;61728;98.706
22.2;1418.6789;106239;98.572
16.6;926.862;69453;99.579
9.8;610.4165;46406;66.749
22.6;1780.5701;133180;99.579
11.4;313.0461;23827;96.261
19.4;1400.541;104850;99.579
20.4;1887.4068;141107;99.579
21.6;430.2883;32523;97.823
25.8;1083.353;81262;99.579
29.6;1692.9219;126589;99.579
22.6;1511.9638;113144;99.579
22.6;0.8253;67;1.174
8.9;211.9465;16141;94.77
14.2;1026.1745;77026;99.579
15.7;403.5701;30721;97.037
17.2;433.5577;32806;96.99
13.5;768.0397;57601;93.924
13.5;472.2499;35456;85.52
11;380.1532;28649;86.169
16.9;311.0462;23711;95.375
11.4;178.8938;13833;92.288
9.5;429.8756;32540;96.395
9.1;154.2377;11833;89.412
12.2;291.0002;22290;96.395
9.9;274.5733;20845;95.495
14.7;738.5859;55643;99.579
15.2;552.6378;41817;97.937
10.3;143.2382;11091;91.178
11.7;303.2301;23194;96.395
8.8;46.4583;3699;68.254
9.8;753.4438;56735;98.84
8.7;66.5439;5198;73.558
8.3;192.8674;14709;93.114
12.9;495.76;37588;97.937
12.9;1082.471;81573;99.579
19.4;444.3358;33758;97.937
14.8;678.1918;51443;99.579
10.1;468.691;35514;96.395
11.8;268.9809;20554;95.495
15.8;0.1127;9;0
23.2;260.8382;22171;97.823
24.2;480.8189;39214;99.579
26.6;230.3891;19281;98.696
15.3;248.934;21277;96.887
21.8;452.6802;36263;98.706
15.1;100.8126;9512;85.817
8.4;105.5796;9480;89.386
17.6;626.2994;49268;98.706
12.1;463.2555;37088;98.696
16.6;355.8523;29889;98.335
22.2;412.0398;33846;97.064
10.4;106.0033;9388;85.456
4.72;8.6231;681;0
14.4;966.535;74932;98.706
22.8;297.4999;25154;97.823
23;997.7818;77597;99.579
26;642.0635;50496;99.579
20.4;403.1477;32876;98.82
21.6;190.4643;16284;96.385
21.2;359.0042;30473;98.696
20.8;480.336;38157;98.82
17;596.2667;45849;98.84
17.5;421.2164;33848;99.579
11.4;45.4451;4691;56.252
19.5;312.7122;25779;98.82
17.9;225.2933;19643;97.943
7.9;38.8913;3426;56.777
15.1;127.563;11660;91.713
16.3;1917.7674;146296;99.579
1;3.2119;251;0
12.3;212.0092;18217;96.298
2.96;13.9091;1146;3.495
18.5;322.7592;26939;97.937
13.6;273.0716;22763;98.696
5.8;104.4516;8170;90.493
20;130.029;11784;86.239
23.8;196.2339;16756;97.843
16.1;719.7302;57223;99.579
19.9;556.7396;44708;98.696
4.24;6.5314;542;0
27;143.0771;12216;93.977
26;470.3481;36718;99.579
20.8;667.5896;52146;99.579
18.7;208.3537;17927;96.298
5.5;271.2975;20598;95.275
9.5;123.676;10816;92.181
13.3;161.1819;14380;94.683
14.2;211.3958;18594;96.311
10.5;58.9247;5630;72.103
18;283.527;24464;97.064
12.5;95.7536;8957;86.74
19.1;91.8843;8526;83.249
21.6;240.2511;20345;97.535
13.2;118.7831;10662;92.111
10.3;96.667;8267;91.108
17.6;262.6128;22638;98.442
13.2;59.3363;5780;77.919
20.6;269.5647;23065;97.893
16.9;964.5267;75559;99.579
16.4;127.4521;11855;93.034
12.6;77.6533;7337;80.557
17;228.2522;19613;96.255
21;278.2353;23690;97.198
18.6;117.1618;10500;89.6
12.7;72.9441;7200;80.768
9.06;420.0716;33938;96.255
15.2;105.0615;9585;88.292
15.2;397.2439;31518;96.255
13.3;210.283;16963;95.495
12;96.5979;7823;81.43
9.98;38.6259;3772;48.624
12.1;81.127;7999;84.018
9.46;50.1618;4607;66.351
9.62;46.3267;4557;62.308
6.12;125.4524;10045;55.426
17.1;141.2167;12532;94.743
16.4;121.2446;10858;92.616
7.98;75.3415;6382;78.721
13.4;172.5966;14600;94.653
7.38;19.2249;1839;15.958
9.34;33.8079;3358;45.992
8.5;69.6276;6264;80.443
7.9;127.5458;10629;92.961
19.2;82.02;7502;86.523
9.82;135.62;11167;91.319
10.4;66.3397;5955;76.354
14.7;331.4511;27849;96.255
14.9;97.4763;9645;88.312
3.18;5.8076;479;0
22.8;132.3899;11811;95.482
17.6;155.1798;12921;93.86
6.18;18.0167;1607;24.981
21.2;280.6662;22863;96.234
20;1383.5441;105909;99.579
19;261.1524;21532;95.495
18.1;218.4741;18379;96.395
28.4;197.0582;15932;98.696
40.6;364.1133;28708;99.579
33.6;254.7039;20753;98.733
16.3;8.4932;846;0
24.2;137.1578;11546;96.234
40.2;278.8002;22265;99.579
18;114.9448;10392;85.67
26.2;93.6798;8183;93.68
39;796.4109;61254;99.579
38.2;960.9408;73798;97.539
28.8;284.7089;22821;99.579
48.2;748.4422;57863;99.579
40.4;298.5984;24054;98.696
28.8;145.7564;12113;97.134
29.2;224.6071;18020;98.696
41;173.7756;14474;99.579
39;754.5796;57805;99.579
28.4;183.6102;14613;98.696
25.6;288.374;22635;99.579
39.6;428.7427;33431;99.579
43.2;1179.3028;89904;99.579
39.4;356.383;27743;99.579
23.8;391.648;30836;99.579
45.2;83.5752;7180;92.335
41.2;245.4328;19539;99.579
35.6;266.0435;20960;99.579
25.2;627.5892;48222;99.579
45.4;212.0713;17046;99.579
37.4;194.802;15918;98.696
36;841.9812;64898;99.579
29.8;256.6462;20571;99.579
39.6;514.2185;39868;99.579
34;718.1631;54974;99.579
36.4;328.5471;25441;99.579
31;960.0887;72971;99.579
37.4;278.3813;22048;99.579
35.4;364.9932;28751;96.84
35.6;1318.1081;101232;99.579
21.2;200.3314;16069;97.037
33;389.3883;30176;98.706
31.6;96.7503;7911;91.579
40.2;325.384;25492;99.579
23.6;747.9205;57273;99.579
30.4;557.3822;43630;98.706
33.2;653.3262;50117;98.706
48.6;267.5011;21135;98.706
27.8;243.9383;19420;98.706
29.4;218.9656;17334;97.937
30.6;318.4339;24748;98.696
44;287.8415;22700;98.696
20.6;292.6451;22952;97.943
37.6;191.5506;15194;97.064
30.2;418.7209;32104;99.579
43.6;444.2073;34078;98.706
25.6;892.8328;67941;98.706
33.4;450.1482;34708;99.579
38.8;357.975;27683;99.579
24.2;315.8013;24487;97.893
14.5;341.6071;27575;97.937
26.4;517.8511;39893;98.706
43;488.7336;38364;99.579
24.6;641.9878;49594;99.579
41.4;443.1594;34241;99.579
34.6;276.4557;21640;98.82
32.6;267.6539;20797;96.395
30.6;154.9467;12410;96.234
38.4;723.0971;54803;99.579
25;358.1696;27712;97.823
16.7;47.1753;4477;52.215
33.2;167.7775;13369;97.937
32.8;591.5978;45001;99.579
22.2;670.4099;50943;98.706
32.8;769.5354;58021;99.579
27.2;371.7476;28602;98.007
47.4;828.8422;62867;98.783
43;439.1184;34079;99.579
23.6;738.6984;56692;99.579
49.6;235.0261;17911;99.579
41.2;220.6106;17116;96.081
51.6;489.83;37443;99.579
26.6;194.6817;15334;97.134
46.4;1252.3694;94912;98.706
50.4;178.3108;14095;97.027
45.4;1004.2688;76813;98.706
31.4;232.6642;18348;97.937
44;606.3464;46709;99.579
47.2;546.9514;42102;96.893
44.4;1634.2137;123654;99.579
12.7;28.4394;3102;25.793
13;18.0094;1873;10.079
14.4;73.0326;6851;76.962
21.8;56.7945;5434;64.081
18.7;76.7999;6658;78.006
17.1;56.6701;5193;59.86
12.8;28.2798;2558;41.728
